prolific_pid,gender,age,score,trait,fbaccount,fbfrequency,fblogin,device,browser,attention_check
5ad5dff900cfd8a350ecf16937c7a5f8050ce53ff2c6c6f2e4aefe728ff1dcf0,m,55,11,introvert,yes,daily,no,desktop,Chrome,5.0
039a8e6d3322bbffe079988d3cb2085aec55bb0e687a2d7ea0a0e37a4e010c1f,f,38,13,introvert,yes,daily,no,desktop,Chrome,5.0
adde4e10efcf8a36217f1273e9f5f90968939ce324904fffc69c69360bb51f55,f,26,36,none,yes,weekly,no,desktop,Chrome,5.0
bb83fc5c6d28ba6c18b2c6fd48eeb042f795d4c15624728da41c1c9357e4cd62,f,53,12,introvert,yes,daily,no,desktop,Chrome,5.0
6f348cfa85484228e67f20e3320e003a41b8fedde4f62cd619ca84c2f997f29f,f,50,22,introvert,yes,daily,no,desktop,Chrome,5.0
37eb809f10c34b966873fc67f4c5c7be20b9036a992d1572d744f9c59bc14d45,m,75,27,none,yes,monthly,no,desktop,Chrome,5.0
54dbaa4d7236b5e3f2810f79a98bb0ea6e053f539c0ee49a3274db3d2a8e5a77,f,54,30,extrovert,yes,daily,yes,desktop,Chrome,5.0
7958713be7ccc5ac08b15c9b2b4ec58ea904dad7445392307350a6751865b7d6,m,35,20,introvert,yes,weekly,yes,desktop,Chrome,5.0
b3f428ef9c84fa5f16ff94edf649fc017839ca391e291d355eeabbfaab3a7e6a,f,55,21,introvert,yes,daily,yes,desktop,Chrome,5.0
8b12c654ed5af4b1121af4afe69ad63cd611689702da48e02a841a02547eaf18,m,50,11,introvert,yes,weekly,no,desktop,Chrome,5.0
0c717eb43af20d6dccdb97aa594de18e88122411374347a5b7f07733a3197ee0,m,27,16,introvert,yes,daily,no,desktop,Chrome,5.0
7a333165c1105b33783b3f0a8b4ee7e4912ce2001f4a29aeacbeeeed537a7a1e,f,21,28,none,yes,daily,yes,desktop,Chrome,5.0
eb6bfd54eeb8a987f6ad1332054e0f2a57f590ef970e70c4229dc47b998902fc,m,38,24,none,yes,daily,no,desktop,Chrome,5.0
87c2dac2ebd77581a0bf5c0db687f3918796b596f20125d2b7a883a87e263230,f,29,32,extrovert,yes,daily,no,desktop,Chrome,5.0
6cd42e78dac16c82ffcf22cf55904004d671e035d46bbc515b6d111e5ac5081a,f,34,26,none,yes,daily,no,desktop,Chrome,5.0
7cd21de1bb3ca7f1d60d28777a7708d11f12b5c87b5a306156ed6b68c8f3cdd6,f,56,32,extrovert,yes,daily,yes,desktop,Chrome,5.0
df8ac20e37d3dc6d73e6e12c9f0ddb44586ddd225886da6d2a5fbe84405817d1,m,62,29,extrovert,yes,weekly,no,desktop,Chrome,5.0
83faf63bf9b16f726caedebf59cc7d009e0c56c2e19c5f41a4b34d0c34430b88,f,49,9,introvert,yes,daily,no,desktop,Chrome,5.0
23af71039ae2bb50c1b4b911104e0b53928a2e16e2103f69fbdfc392c210f7f6,m,27,36,extrovert,yes,daily,yes,desktop,Chrome,5.0
a0684fe6583e17d33dc064ad4eef8f44c24b0e5ba3cc15812effcf4068b4af34,m,19,29,none,yes,daily,no,desktop,Chrome,5.0
0cd82a639aaf6b4c40f48839f74337f74e024ed29cbba2edf3d6e78db9b211a4,f,31,26,none,yes,daily,yes,desktop,Chrome,5.0
098c56321b1effb8faa8cc3caa09f2c3509f5bdf4ec95db7bd829f0a9c8b0258,f,57,31,extrovert,yes,daily,no,desktop,Chrome,5.0
1a9181d45322f8b3f3ad3bc23a60d8e5f94e9dabfc058746978deba01be9cad6,m,39,13,introvert,yes,daily,yes,desktop,Chrome,5.0
6edf4b1bc50a35e946517a35754cd2f9d13241beae3fb6e82992a8c54582cb63,f,56,19,introvert,yes,daily,no,desktop,Chrome,5.0
13b0b195f2bde28c9212d9d806b2945074ac4305ed67dee1f0abdf7a519bcc2f,f,20,22,introvert,yes,daily,yes,desktop,Chrome,5.0
01c63fecaa2edd002eeb37b02774a4299561e6d351354c44b4d05a5800ff31c4,f,57,30,extrovert,yes,daily,no,desktop,Chrome,5.0
9069378fa8616b53ec7d0a503a270f39d59526249db86357bd2cada20610986c,f,28,64,none,yes,weekly,yes,desktop,Chrome,4.0
fc67732ea2f47d488f163100973c7d748c3fab02cf83cd620783d8ea36a5e8e3,m,32,91,extrovert,yes,daily,yes,desktop,Chrome,5.0
bc26a210bc9c21aaf7b03c4e450be616a064aeddb9dfa61d6d648cc905d84f24,f,36,29,introvert,yes,daily,no,desktop,Chrome,5.0
829907c7a1cc96e39875fe36c650cf7496a3082eb6cb80fbbbd63c7b18e52008,m,21,96,extrovert,yes,daily,no,desktop,Chrome,5.0
276ee2c2034931f5a95334d6c8a2a6d604759fc2fcee89a89a58096ee421a373,m,45,51,none,yes,daily,no,desktop,Chrome,5.0
c89f5a744c19a83a2b78b5daf81be292a9866714920a94bfa203f9de09d4e78e,f,34,53,none,yes,daily,yes,desktop,Chrome,5.0
9a75f4b944c3fd744a3a248f65f823a485978302624de6e6fe1e170c22ed97be,f,53,39,none,yes,daily,yes,desktop,Chrome,5.0
f76d4e952febed16d68ce8a8e9550fec7057fd132d0c532e0de4e47c8e60d062,f,21,33,none,yes,daily,yes,desktop,Chrome,5.0
937d886e18a572ecd36bc4244c79292274cf112b971442191efd60b912d5b89f,f,22,5,introvert,yes,daily,yes,desktop,Chrome,5.0
6fb7f0026f792a582330a276b052c5fc94ed2266b7b008f97d5bbd4d42ad0193,f,30,15,introvert,yes,daily,no,desktop,Chrome,5.0
64aaa5bad977d88b1222adee89ad138c484535963928f8b46f2f22d3d02531e3,f,33,3,introvert,yes,daily,no,desktop,Chrome,5.0
b9d4afb81e1d71088de82fd17d7fb1e9f9085b8e2b83aeb20f90af04fa37f265,f,63,12,introvert,yes,daily,yes,desktop,Chrome,5.0
764d7b110a4a4874bcc684c6ce31b51e262e324c3427dfae06b653d1d68bd360,f,42,4,introvert,yes,daily,no,desktop,Chrome,5.0
5685b74b35f2be02108d2825a4363d66ab485b1c94a725e7d71923abbc087783,f,30,23,introvert,yes,daily,no,desktop,Chrome,5.0
7647146d49ed6491f35b54b43c2aec035867b9cb8b797dbc50cc73087ca56336,m,23,74,extrovert,yes,weekly,no,desktop,Chrome,5.0
71c0fba6476958c750119cb63afe009d14f183cbd50fe8ddbcadf76c94a159d8,m,25,73,extrovert,yes,weekly,no,desktop,Chrome,5.0
c54fb4560f74b86f1212db66bfff954599184b03e6ad2bea03d3eec1978c4378,m,56,6,introvert,yes,daily,yes,desktop,Chrome,5.0
e1e7da7aff66cd3f878dcee88f79fb73be679d5e1920032ee051a192859a3b03,f,53,75,extrovert,yes,daily,no,desktop,Chrome,5.0
7b020237ed95096b960d396d6eade8d900373da075640a66830d0190d6c8b749,f,24,82,extrovert,yes,daily,no,desktop,Chrome,5.0
0118fe65a2bd626f26ca4f316d668afbc4319afc8815ccfcc1733ac400281dd9,m,35,85,extrovert,yes,daily,yes,desktop,Chrome,5.0
8b199163eececee174a0a7af30d9f588198c1d35b17787329c812647a25d2a08,m,42,0,introvert,yes,monthly,no,desktop,Chrome,5.0
51814c7b8ae3c963c838d3aec5b2dc00b60d0ae0d7be3589221396d460f66d9e,m,35,53,none,yes,weekly,no,desktop,Chrome,5.0
76d19eab6d33897fad1194331c84ada72ad618bb54e034285e4d45da68bbedf3,m,31,58,none,yes,daily,yes,desktop,Chrome,5.0
4aab44e248aabba41705b57d4052e3ebfec66b94dcd69c3d622c5ca310647abc,f,28,27,introvert,yes,daily,yes,desktop,Chrome,5.0
11a4333c2a4888909bf94ed4a0f98f6eec1906c17a3e8c3e23955d85a193ab9f,f,60,24,introvert,yes,daily,no,desktop,Chrome,5.0
46e1e7644501c9f64e2cdae11e0e71b3111ebc0daf2dac47dc8c7c6421a66afa,m,47,61,none,yes,daily,no,desktop,Chrome,5.0
e34239431bec79564d30e3d5cc8bfaf75fd34cbb079ae5b89b1ab61ca9ca6258,f,52,78,extrovert,yes,daily,no,desktop,Chrome,5.0
